Bánovce nad Bebravou,301,6
Banská Bystrica,601,1
Banská Štiavnica,602,1
Bardejov,701,5
Bratislava I,101,2
Bratislava II,102,2
Bratislava III,103,2
Bratislava IV,104,2
Bratislava V,105,2
Brezno,603,1
Bytča,501,8
Čadca,502,8
Detva,604,1
Dolný Kubín,503,8
Dunajská Streda,201,7
Galanta,202,7
Gelnica,801,3
Hlohovec,203,7
Humenné,702,5
Ilava,302,6
Kežmarok,703,5
Komárno,401,4
Košice I,802,3
Košice II,803,3
Košice III,804,3
Košice IV,805,3
Košice-okolie,806,3
Krupina,605,1
Kysucké Nové Mesto,504,8
Levice,402,4
Levoča,704,5
Liptovský Mikuláš,505,8
Lučenec,606,1
Malacky,106,2
Martin,506,8
Medzilaborce,705,5
Michalovce,807,3
Myjava,303,6
Námestovo,507,8
Nitra,403,4
Nové Mesto nad Váhom,304,6
Nové Zámky,404,4
Partizánske,305,6
Pezinok,107,2
Piešťany,204,7
Poltár,607,1
Poprad,706,5
Považská Bystrica,306,6
Prešov,707,5
Prievidza,307,6
Púchov,308,6
Revúca,608,1
Rimavská Sobota,609,1
Rožňava,808,3
Ružomberok,508,8
Sabinov,708,5
Senec,108,2
Senica,205,7
Skalica,206,7
Snina,709,5
Sobrance,809,3
Spišská Nová Ves,810,3
Stará Ľubovňa,710,5
Stropkov,711,5
Svidník,712,5
Šaľa,405,4
Topoľčany,406,4
Trebišov,811,3
Trenčín,309,6
Trnava,207,7
Turčianske Teplice,509,8
Tvrdošín,510,8
Veľký Krtíš,610,1
Vranov nad Topľou,713,5
Zlaté Moravce,407,4
Zvolen,611,1
Žarnovica,612,1
Žiar nad Hronom,613,1
Žilina,511,8
