Ábelová,985 13,33
Abovce,980 44,53
Abrahám,925 45,16
Abrahámovce,059 72,21
Abrahámovce,086 41,4
Abramová,038 22,71
Abranovce,082 52,49
Adamovské Kochanovce,913 05,69
Adidovce,067 32,19
Albínov,078 01,68
Alekšince,951 22,40
Alexandrov Dvor,951 34,40
Alžbetin Dvor,900 42,57
Amadeho Kračany,930 03,15
Aňala,946 51,22
Aňalské Záhrady,946 51,22
Andač,951 42,40
Andice,031 01,32
Andovce,941 23,42
Andrejová,086 37,4
Andrejovka,065 43,63
Arad,943 42,42
Ardanovce,956 06,67
Ardovo,049 55,54
Arma,935 41,30
Arnutovce,053 13,62
Báb,951 34,40
Babie,094 31,74
Babín,029 52,39
Babin Potok,082 67,49
Babiná,962 61,76
Babindol,951 53,40
Babinec,980 26,53
Babiše,013 54,11
Babkov,013 11,79
Babulicov Vrch,916 13,38
Bacúch,976 64,10
Bacúrov,962 61,76
Báč,930 30,15
Bačala,951 15,40
Bačka,076 84,68
Bačkov,076 61,68
Bačkovík,044 45,27
Báčovce,962 68,28
Baďan,969 01,3
Bádice,951 46,40
Badín,976 32,2
Báhoň,900 84,44
Bajany,072 54,37
Bajč,946 54,22
Bajerov,082 41,49
Bajerovce,082 73,56
Bajka,935 51,30
Bajtava,943 65,42
Baka,930 04,15
Bakta,979 01,53
Baláže,976 11,2
Baldovce,053 04,31
Balog nad Ipľom,991 11,73
Baloň,930 08,15
Balvany,946 01,22
Baňa,091 01,64
Baňa Lucia,044 25,27
Banka,921 01,45
Banky,969 01,3
Banky,972 25,50
Bánov,941 01,42
Bánová,010 04,79
Bánovce nad Bebravou,,1
Bánovce nad Ondavou,072 04,37
Banská,972 48,50
Banská Belá,966 15,3
Banská Bystrica,,2
Banská Hodruša,966 63,77
Banská Štiavnica,,3
Banské,094 12,74
Banský Studenec,969 01,3
Bara,076 32,68
Barca,982 51,53
Bardejov,085 01,4
Bardejovská Nová Ves,085 01,4
Bardejovská Zábava,085 01,4
Bardejovské Kúpele,086 31,4
Bardoňovo,941 49,42
Bartošova Lehôtka,967 01,78
Bartošovce,086 42,4
Baška,040 16,27
Baškovce,067 23,19
Baškovce,073 01,61
Bašovce,922 01,45
Baštín,956 18,43
Batizovce,059 35,47
Bátka,980 21,53
Bátorová,991 26,73
Bátorove Kosihy,946 34,22
Bátovce,935 03,30
Beckov,916 38,41
Beckovská Vieska,916 31,41
Bečov,974 01,2
Beharovce,053 05,31
Behynce,956 07,67
Behynce,982 01,52
Becherov,086 35,4
Beketfa,930 34,15
Belá,013 05,79
Belá,943 53,42
Belá - Dulice,038 11,35
Belá nad Cirochou,067 81,60
Beladice,951 75,75
Belejov,018 03,48
Belejovce,089 01,65
Belek,941 48,42
Belín,980 01,53
Belina,986 01,33
Belince,956 12,67
Bellova Ves,930 52,15
Beloveža,086 14,4
Beluj,969 01,3
Beluša,018 61,51
Belža,044 58,27
Beňadiková,032 04,32
Beňadikovce,090 42,65
Beňadovo,029 63,39
Beňatina,072 64,61
Beniakovce,044 42,27
Benice,031 01,32
Benice,038 42,35
Benkova Potôň,930 36,15
Benkovce,094 02,74
Beňov,014 01,11
Beňova Lehota,026 01,14
Beňuš,976 64,10
Beňušovce,031 01,32
Bernátovce,044 13,27
Bernolákovo,900 27,57
Bertotovce,082 35,49
Besné,018 02,48
Beša,076 72,37
Beša,935 36,30
Bešeňov,941 41,42
Bešeňová,034 83,55
Betlanovce,053 15,62
Betlenovce,071 01,37
Betliar,049 21,54
Bezdedov - Vieska,020 01,51
Bežovce,072 53,61
Bidovce,044 45,27
Biel,076 41,68
Biela,027 05,14
Biela Voda,972 29,50
Biele Vody,053 76,62
Biele Vody,976 53,10
Bielovce,935 74,30
Biely Kostol,919 34,70
Biely Potok,034 03,55
Bijacovce,053 06,31
Bílkove Humence,908 77,58
Bíňa,943 56,42
Bindt,053 32,62
Bíňovce,919 07,70
Biskupice,911 01,69
Biskupice,957 01,1
Biskupice,986 01,33
Biskupová,956 07,67
Bitarová,010 04,79
Blahová,930 52,15
Blatná na Ostrove,930 32,15
Blatná Polianka,072 44,61
Blatné,900 82,57
Blatné Remety,072 44,61
Blatné Revištia,072 43,61
Blatnica,038 15,35
Blažice,044 16,27
Blažkov,023 02,12
Blažková,023 11,12
Blažovce,038 44,71
Blesovce,956 01,67
Blhovce,980 32,53
Bobot,913 25,69
Bobotská Lehota,913 25,69
Bobrov,029 42,39
Bobrovček,032 21,32
Bobrovec,032 21,32
Bobrovník,032 23,32
Bočiar,044 57,27
Bodice,031 01,32
Bodíky,930 31,15
Bodiná,018 15,48
Bodok,956 08,67
Bodorová,038 45,71
Bodov,903 01,57
Bodovce,082 66,56
Bodovka - Krivosúd,913 11,69
Bodružal,090 05,65
Bodza,946 16,22
Bodzianske Lúky,946 14,22
Bogliarka,086 04,4
Bohatá,947 03,22
Bohdanovce,044 16,27
Bohdanovce nad Trnavou,919 09,70
Boheľov,929 01,15
Bohunice,018 52,20
Bohunice,919 30,70
Bohunice,935 05,30
Bohúňovo,049 12,54
Bojná,956 01,67
Bojnice,972 01,50
Bojnice - kúpele,972 01,50
Bojničky,920 55,18
Bokroš,946 39,22
Bokša,091 01,64
Boľ,076 53,68
Boldog,925 26,57
Boleráz,919 08,70
Bolešov,018 53,20
Boliarov,044 47,27
Boľkovce,984 01,33
Borcová,038 44,71
Borčany,956 36,1
Borčice,018 53,20
Borda,044 45,27
Borinka,900 32,34
Borov,068 01,36
Borová,919 61,70
Borovce,922 09,45
Borský Mikuláš,908 77,58
Borský Peter,908 77,58
Borský Svätý Jur,908 79,58
Borša,076 32,68
Bory,935 87,30
Bošáca,913 07,41
Bošany,956 18,43
Bošianska Neporadza,913 26,69
Boťany,076 43,68
Bottovo,980 41,53
Božčice,076 62,68
Bôrka,049 42,54
Bracovce,072 05,37
Brádno,982 67,53
Branč,951 13,40
Branovo,941 31,42
Bratislava,,5
Bratislava - Čunovo,851 10,9
Bratislava - Devín,841 10,8
Bratislava - Devínska Nová Ves,,8
Bratislava - Dúbravka,,8
Bratislava - Jarovce,851 10,9
Bratislava - Karlova Ves,,8
Bratislava - Lamač,841 03,8
Bratislava - Nové Mesto,,7
Bratislava - Petržalka,,9
Bratislava - Podunajské Biskupice,821 06,6
Bratislava - Rača,,7
Bratislava - Rusovce,851 10,9
Bratislava - Ružinov,,6
Bratislava - Staré Mesto,,5
Bratislava - Vajnory,831 07,7
Bratislava - Vrakuňa,821 07,6
Bratislava - Záhorská Bystrica,841 06,8
Bratkovica,962 05,13
Braväcovo,976 64,10
Brdárka,049 34,54
Brehov,076 05,68
Brehy,968 01,77
Brekov,066 01,19
Brestina,985 53,33
Brestov,066 01,19
Brestov,082 05,49
Brestov nad Laborcom,067 01,36
Brestovany,919 27,70
Brestové,916 42,41
Brestovec,907 01,38
Brestovec,946 17,22
Bretejovce,082 03,49
Bretka,980 46,54
Breza,029 53,39
Brezany,010 04,79
Brezany,972 12,50
Brezina,076 12,68
Breziny,962 61,76
Breznica,091 01,64
Breznička,091 01,64
Breznička,985 02,46
Brezno,,10
Brezolupy,957 01,1
Brezov,087 01,4
Brezová pod Bradlom,906 13,38
Brezovec,067 73,60
Brezovica,028 01,72
Brezovica,082 74,56
Brezovička,082 74,56
Brezovka,086 11,4
Brežany,082 41,49
Brhlovce,935 02,30
Briestenné,018 22,48
Brieštie,038 22,71
Brišovka,029 57,39
Brnice,032 23,32
Brodno,010 14,79
Brodské,908 85,59
Brodzany,958 42,43
Bršlica,013 54,11
Bruchačka,976 51,10
Brunovce,916 25,41
Brusnica,090 31,64
Brusník,982 65,52
Brusník,991 01,73
Brusno,972 32,50
Brusno,976 62,2
Brusno - kúpele,976 62,2
Brutovce,053 73,31
Bruty,943 55,42
Brvnište,018 12,48
Brzotín,049 51,54
Buclovany,086 43,4
Búč,946 35,22
Bučany,919 28,70
Bučina,029 57,39
Bučkovec,916 42,41
Bučuháza,931 01,15
Budatín,010 03,79
Budatínska Lehota,023 36,29
Budča,962 33,76
Budička,962 34,76
Budikovany,980 23,53
Budimír,044 43,27
Budiná,985 12,33
Budince,076 77,37
Budiš,038 23,71
Budkovce,072 15,37
Budmerice,900 86,44
Budulov,045 01,27
Budzín,082 71,56
Buglovce,053 04,31
Bujakovo,977 01,10
Buková,013 61,11
Buková,919 10,70
Bukovce,090 22,64
Bukovec,044 20,27
Bukovec,906 14,38
Bukovec,991 02,73
Bukovina,032 23,32
Bukovina,966 01,78
Bukovina,968 01,77
Bukovinka,053 14,31
Bukovinka,985 51,13
Bulhary,986 01,33
Bunde,082 33,49
Bunetice,044 47,27
Bunkovce,072 44,61
Bušince,991 22,73
Bušovce,059 93,21
Búštelek,930 39,15
Butty,022 04,12
Buzica,044 73,27
Buzice,044 13,27
Buzitka,985 41,33
Byster,044 41,27
Bystrá,090 23,64
Bystrá,977 01,10
Bystrany,053 62,62
Bystré,094 34,74
Bystričany,972 45,50
Bystrička,038 04,35
Bystrička,946 38,22
Bystrička,985 24,46
Byšta,076 13,68
Bytča,014 01,11
Bytčica,010 09,79
Bzenica,966 01,78
Bzenov,082 42,49
Bzince,956 05,67
Bzince pod Javorinou,916 11,41
Bziny,026 01,14
Bzovík,962 41,28
Bzovská Lehôtka,962 62,76
Bžany,090 33,64
Cabaj,951 17,40
Cabaj - Čápor,951 17,40
Cabov,094 14,74
Cakov,980 42,53
Cejkov,076 05,68
Celulózka,010 01,79
Cemjata,080 01,49
Cernina,090 16,65
Cerová,906 33,58
Cerová,972 48,50
Ceroviny,951 24,40
Cerovo,962 52,28
Cestice,044 71,27
Cetuna,916 11,41
Cífer,919 43,70
Cigeľ,971 01,50
Cigeľka,086 02,4
Cigla,086 37,65
Cimenná,956 37,1
Cinobaňa,985 22,46
Cunín,908 48,59
Čab,951 24,40
Čabalovce,067 16,36
Čabiny,067 02,36
Čabradský Vrbovok,962 51,28
Čačín,974 01,2
Čáčov,905 01,58
Čadca,,12
Čadca - Kyčerka,022 04,12
Čadečka,022 01,12
Čachtice,916 21,41
Čajakovo,935 61,30
Čajkov,935 24,30
Čaka,935 68,30
Čakajovce,951 43,40
Čakanovce,044 45,27
Čakanovce,985 58,33
Čakany,930 40,15
Čaklov,094 35,74
Čalovec,946 02,22
Čamovce,986 01,33
Čaňa,044 14,27
Čankov,934 01,30
Čápor,951 17,40
Čaradice,953 01,75
Čáry,908 43,58
Častá,900 89,44
Částa,946 03,22
Častkov,906 04,58
Častkovce,916 27,41
Čata,935 63,30
Čataj,900 83,57
Čavoj,972 29,50
Čebovce,991 25,73
Čečehov,072 11,37
Čečejovce,044 71,27
Čečínska Potôň,930 36,15
Čechánky,985 45,13
Čechová,930 34,15
Čechy,941 32,42
Čechynce,951 07,40
Čekovce,962 41,28
Čeľadice,951 03,40
Čeľadince,956 16,67
Čeláre,991 22,73
Čelkova Lehota,018 16,48
Čelovce,082 14,49
Čelovce,991 41,73
Čeľovce,076 17,68
Čemerné,093 03,74
Čenkesfa,929 01,15
Čenkov,943 52,42
Čenkovce,930 39,15
Čereňany,972 46,50
Čerenčany,979 01,53
Čergov,945 01,22
Čerhát,945 04,22
Čerhov,076 81,68
Čerín,974 01,2
Čermáň,949 01,40
Čermany,956 08,67
Černík,941 05,42
Černina,067 23,19
Černochov,076 32,68
Černochov Vrch,916 01,41
Černová,034 06,55
Čertižné,067 52,36
Červeň,985 02,46
Červená Skala,976 71,10
Červená Voda,083 01,56
Červeňany,049 64,52
Červeňany,991 01,73
Červenica,082 07,49
Červenica pri Sabinove,082 56,56
Červeník,920 42,18
Červený Hrádok,951 82,75
Červený Kameň,018 56,20
Červený Kameň,900 89,44
Červený Kláštor,059 06,21
Červený Kláštor - kúpele,059 06,21
České Brezovo,985 03,46
Čiakov,013 54,11
Čičarovce,076 71,37
Čičava,093 01,74
Čičmany,013 15,79
Číčov,946 19,22
Čierna,076 43,68
Čierna Hora,053 33,17
Čierna Lehota,049 36,54
Čierna Lehota,956 53,1
Čierna nad Tisou,076 43,68
Čierna Voda,925 06,16
Čierne,013 55,11
Čierne,023 13,12
Čierne,023 56,12
Čierne Kľačany,953 05,75
Čierne nad Topľou,094 34,74
Čierne Pole,079 01,37
Čierny Balog,976 52,10
Čierny Brod,925 08,16
Čierny Chrbát,946 03,22
Čierny Potok,980 31,53
Čierny Váh,032 33,32
Čifáre,951 61,40
Čiky,941 11,42
Čilistov,931 01,15
Čiližská Radvaň,930 08,15
Čimhová,027 12,72
Čirč,065 42,63
Číž,980 43,53
Číž - kúpele,980 43,53
Čižatice,044 47,27
Čoltovo,049 12,54
Čremošné,039 01,71
Čučma,048 01,54
Čukalovce,067 35,60
Čukárska Paka,930 51,15
Čuklasovce,956 54,1
